implementation,workload,request_rate,seed,offered_rate,achieved_throughput,goodput,total_requests,completed_requests,failed_requests,joint_slo,ttft_slo,tpot_slo,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,admitted_requests,deferred_requests,requeued_requests,shed_requests,deadline_violations,alg2_rounds,alg2_eligible,alg2_pathological_rounds,queue_length_mean,queue_length_max,activations,deactivations,idle_evictions,alg1_cycles,alg1_placement_decisions,alg1_migrate_decisions,activation_count,activation_total_s,deactivation_count,deactivation_total_s,weight_transfer_total_s,weight_transfer_mean_gbps,weight_transfers,p2p_weight_transfers,page_locked_transfers,alg1_suppressed_by_tau,alg1_rejected_by_memory,alg1_convergence_gap_mean
paper-faithful-v4,steady,8,3,8.083333333333334,8.083333333333334,0.4533333333333333,2425,2425,0,0.056082474226804124,0.9752577319587629,0.05731958762886598,143.02099945618934,121.0784912109375,298.104953765869,556.9358158111564,2174.9837398529053,59.22839641688605,55.86601908390339,91.6396503261229,114.60043802044576,219.57312524318695,9852.72726735621,7301.7751300067175,26930.847428212288,33689.619515678474,37269.21946500079,13,28,13,0,0,1814.4510709322417,1773.6241817474365,2612.536096572875,2860.6438922882076,2922.670841217041,173.7162001132965,55821149184,0,55821149184,10.317461319816333,9.722777304875844,host-to-device + helper-gpu-p2p,0.0,0.0,0.0,0.0,1139,0,0,0,0,1109,1139,0,1.0270513976555455,3,0,14,0,65,390,14,14,26.496548175811768,13,150.11567544937134,11.321475035976619,11.332164309145082,20,0,20,3,0,1.1538461538461537
released-prototype,bursty,8,1,8.04,8.04,5.1466666666666665,2412,2412,0,0.6401326699834162,0.9809286898839138,0.6509121061359867,124.80013534599671,71.37632369995117,271.6254591941832,975.178439617139,5091.753244400024,34.75321009894484,31.740766515334446,66.2793452290172,105.25447868151697,174.46257174015045,5744.785403579667,3691.0501634993125,17758.815859098097,23229.585948586893,32741.241889001685,2,2,2,0,1,11.942386627197266,11.942386627197266,15.187644958496094,15.476112365722656,15.548229217529297,0.02388477325439453,9791172608,0,9791172608,8.060719092242445,8.060719092242445,host-to-device + helper-gpu-p2p,11.942386627197266,11.942386627197266,15.187644958496094,15.476112365722656,0,0,0,0,0,0,0,0,0.015945330296127564,10,6,9,7,0,0,0,8,0.06057143211364746,9,0.06220507621765137,16.52182802897005,6.939882239567511,14,0,0,,,
released-prototype,bursty,8,2,7.953333333333333,7.953333333333333,1.3833333333333333,2386,2386,0,0.17393126571668063,0.9006705783738475,0.1785414920368818,409.72216870738794,115.38374423980713,2125.146269798279,6779.17300462723,8451.719522476196,60.898398571173196,51.945750903597514,117.51114488929832,206.2863582656497,320.9047019481659,9925.512948550713,7080.535253007838,29810.008739506884,40658.00747114558,50533.202688995516,3,3,3,0,1,9.092013041178385,8.576631546020508,10.331439971923828,10.487422943115234,10.526418685913086,0.027276039123535156,17423974400,0,17423974400,7.831235415451917,7.998633816731532,host-to-device + helper-gpu-p2p,9.092013041178385,8.576631546020508,10.331439971923828,10.487422943115234,0,0,0,0,0,0,0,0,0.07191011235955057,20,9,12,9,0,0,0,12,0.08694648742675781,12,0.10345792770385742,20.35622028700891,7.442616839632019,18,0,0,,,
released-prototype,bursty,8,3,8.163333333333334,8.163333333333334,1.0666666666666667,2449,2449,0,0.13066557778685178,0.8930175581870151,0.1380155165373622,297.3366490477394,119.96078491210938,995.7840442657471,4262.847623825073,7419.391393661499,85.45482634776823,54.16225132189299,237.64257223317117,472.80560553073883,824.6025443077087,12050.650580661964,8413.80777899758,39857.58881220244,61291.76295424346,72496.97878099687,6,6,6,0,1,9.96402899424235,9.218454360961914,12.085497379302979,12.105858325958252,12.11094856262207,0.0597841739654541,47072911360,0,47072911360,9.733465057088592,10.31359453792053,host-to-device + helper-gpu-p2p,9.96402899424235,9.218454360961914,12.085497379302979,12.105858325958252,0,0,0,0,0,0,0,0,0.027149321266968326,11,7,14,8,0,0,0,13,0.10482025146484375,14,0.14997386932373047,19.64047930597735,8.140690009812772,19,0,0,,,
released-prototype,bursty,20,1,20.186666666666667,20.186666666666667,0.2633333333333333,6056,6056,0,0.013044914134742404,0.5860303830911493,0.013540290620871863,1158.639891223202,239.60328102111816,5339.220225811005,7841.4926528930655,9672.696828842163,267.81002305043745,172.77568047589597,870.7766532897949,1896.2410353124133,3120.3700453042984,30232.66590165576,19447.57587100321,89480.14347849676,106768.80388305579,120703.10602500103,6,6,6,0,1,9.580334027608236,8.334159851074219,14.739155769348145,16.03682041168213,16.361236572265625,0.05876040458679199,59868337152,0,59868337152,8.901211505393732,7.552763879418715,host-to-device + helper-gpu-p2p,9.580334027608236,8.334159851074219,14.739155769348145,16.03682041168213,0,0,0,0,0,0,0,0,1.4051724137931034,41,6,13,7,0,0,0,12,0.07620811462402344,13,0.09451961517333984,19.63143623097858,8.011618665008712,18,0,0,,,
released-prototype,bursty,20,2,19.51,19.51,0.9466666666666667,5853,5853,0,0.048522125405774816,0.6735007688364941,0.05347684947889971,836.4134132200156,180.02796173095703,3847.9378223419117,7539.158229827875,10265.249729156494,215.67269863961067,114.11359906196594,792.2512975122237,1722.8450354662757,3095.036029815674,23961.599240483458,15945.98287800909,74259.29217619989,98686.35433339622,114386.27971100505,3,3,3,0,1,12.411355972290039,9.788274765014648,18.132948875427246,18.8746976852417,19.060134887695312,0.03744673728942871,26828203008,0,26828203008,7.652452830705699,7.93067827852707,host-to-device + helper-gpu-p2p,12.411355972290039,9.788274765014648,18.132948875427246,18.8746976852417,0,0,0,0,0,0,0,0,0.6252723311546841,58,9,14,11,0,0,0,12,0.1446371078491211,14,0.12732458114624023,23.24341009800264,6.525853358763824,18,0,0,,,
released-prototype,bursty,20,3,19.976666666666667,19.976666666666667,0.48333333333333334,5993,5993,0,0.024194894043050225,0.5781745369597864,0.02452861671950609,1377.795271815391,237.6401424407959,4764.838504791258,12174.620208740229,14842.874526977539,248.53463910801975,149.45463836193085,869.6082174777982,1753.7441513818837,2258.071318268776,28609.438403549768,20324.783962001675,88224.28867260457,108766.65476712573,125378.41511500301,3,3,3,0,1,8.68829091389974,8.390665054321289,9.299826622009277,9.380640983581543,9.40084457397461,0.027490854263305664,17004677120,0,17004677120,8.041336001227362,5.63068763738567,host-to-device + helper-gpu-p2p,8.68829091389974,8.390665054321289,9.299826622009277,9.380640983581543,0,0,0,0,0,0,0,0,6.831030818278427,237,6,10,7,0,0,0,9,0.06218719482421875,10,0.07892251014709473,18.079955883062212,6.637788166384154,15,0,0,,,
released-prototype,steady,8,1,8.04,8.04,1.51,2412,2412,0,0.18781094527363185,0.9871475953565506,0.19029850746268656,121.05240157587612,104.93993759155273,238.1640315055845,442.47872591018654,912.4822616577148,48.76832077029423,47.47816291912511,75.28338862790002,86.62131029096508,168.48161390849523,8287.124295112662,5542.618372994184,23970.395776998335,28451.573633816864,31117.632319990662,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9.724600448011188,5.100574527764784,6,0,0,,,
released-prototype,steady,8,2,8.093333333333334,8.093333333333334,0.47,2428,2428,0,0.058072487644151564,0.984349258649094,0.05889621087314662,121.87525310862006,104.59661483764648,234.60645675659185,429.2750263214112,1899.8143672943115,50.902893038129534,48.67883376453234,72.24021822474496,84.63454355796179,105.08455336093903,8628.006149215325,6054.02337799751,24154.479061647726,26865.762366739364,28405.892616006895,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9.942096905986546,4.941625705211763,6,0,0,,,
released-prototype,steady,8,3,8.083333333333334,8.083333333333334,0.5533333333333333,2425,2425,0,0.06845360824742268,0.9909278350515464,0.0688659793814433,126.56606605372478,109.83896255493164,254.18000221252424,447.50005722045876,1279.7000408172607,53.57631088576283,51.9038587808609,76.47083997726438,94.14674467510643,186.0271543264389,8990.101331613458,6581.145226009539,25195.406387210816,27798.709508797616,28914.173654993647,0,0,0,0,1,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9.718165736019728,4.943482798366962,6,0,0,,,
