arm,index,model,prompt_tokens,frontend_wait_s,local_scheduler_wait_s,prefill_wait_s,actual_prefill_service_s,decode_start_wait_s,ttft_s,tpot_s,e2e_s
D0,117,model_3,360,0.0007278919219970703,0.009070634841918945,0.3132202625274658,0.14558005332946777,0.018674612045288086,0.4685988426208496,0.07236066172199865,4.954959869384766
D0,118,model_3,34,0.000659942626953125,0.010077714920043945,0.19563889503479004,0.14560317993164062,0.018653392791748047,0.35197973251342773,0.04677462577819824,18.313436031341553
D0,119,model_3,238,0.0008890628814697266,0.0009188652038574219,0.02933478355407715,0.03801274299621582,0.03104424476623535,0.06915545463562012,0.04678916372358799,18.036194324493408
D0,120,model_2,12,0.0008158683776855469,0.003069162368774414,0.02303600311279297,0.027665376663208008,0.06865358352661133,0.05458641052246094,0.05530882650806058,3.483733654022217
D0,121,model_6,261,0.0007016658782958984,0.007022857666015625,0.0527346134185791,0.08760452270507812,0.4458436965942383,0.14806365966796875,0.05262138995718449,17.460500955581665
D0,122,model_5,694,0.001519918441772461,0.0017077922821044922,0.27141499519348145,0.6451327800750732,0.0713353157043457,0.9197754859924316,0.08182701468467712,2.2290077209472656
D0,123,model_5,976,0.0009219646453857422,0.0013213157653808594,0.2718007564544678,0.6450841426849365,0.07138252258300781,0.9191281795501709,0.07687676514630543,15.602590322494507
D0,124,model_3,10,0.0004582405090332031,0.004290103912353516,0.020308732986450195,0.04209136962890625,0.6548726558685303,0.06714844703674316,0.07762914896011353,1.3092148303985596
D0,125,model_3,564,0.0006239414215087891,0.008618593215942383,0.3332552909851074,0.19638895988464355,0.027420759201049805,0.5388867855072021,0.06085168520609538,2.3644373416900635
D0,126,model_6,12,0.0004379749298095703,0.0014226436614990234,0.20826935768127441,0.023925304412841797,0.03762364387512207,0.2340552806854248,0.05399612443787711,6.281621217727661
D0,127,model_5,17,0.0008852481842041016,0.006827354431152344,0.18327832221984863,0.024104595184326172,0.04605817794799805,0.21509552001953125,0.06847529113292694,26.509607315063477
D0,128,model_3,15,0.0008695125579833984,0.0020589828491210938,0.027049541473388672,0.030605316162109375,0.02838873863220215,0.06058335304260254,0.04882685804136709,10.16774296760559
D0,129,model_6,89,0.0010447502136230469,0.0010044574737548828,0.028486967086791992,0.040197134017944336,0.07537651062011719,0.07073330879211426,0.05137527299424013,19.798838138580322
D0,130,model_3,327,0.0004572868347167969,0.001209259033203125,0.015805959701538086,0.03441810607910156,0.08202028274536133,0.05189061164855957,0.09907238960266113,2.528700351715088
D0,131,model_4,30,0.0005886554718017578,0.007093906402587891,0.07411503791809082,0.05626654624938965,0.04953455924987793,0.13806414604187012,0.044028126945098243,17.044864892959595
D0,132,model_4,769,0.0004551410675048828,0.004285573959350586,0.07432079315185547,0.05621814727783203,0.04958081245422363,0.13527965545654297,0.06332233548164368,1.1484370231628418
D0,133,model_2,310,0.0008800029754638672,0.004550457000732422,0.025983333587646484,0.02753138542175293,0.5651988983154297,0.0589451789855957,0.06019141938951281,1.1423907279968262
D0,134,model_5,463,0.0006756782531738281,0.002623319625854492,0.303739070892334,0.05517387390136719,0.08186721801757812,0.3622119426727295,0.09275852143764496,1.8463482856750488
D0,135,model_2,93,0.0009515285491943359,0.005724430084228516,0.2512390613555908,0.03394031524658203,0.04728102684020996,0.2918553352355957,0.03689778968691826,14.460606575012207
D0,136,model_5,14,0.000583648681640625,0.0042955875396728516,0.3128340244293213,0.02747035026550293,0.047239065170288086,0.3451836109161377,0.0790699628683237,9.59636926651001
D0,137,model_1,20,0.0005738735198974609,0.007842302322387695,0.21924853324890137,0.04476642608642578,0.027080059051513672,0.2724311351776123,0.030303159289889865,7.090641975402832
D0,138,model_6,15,0.0007076263427734375,0.0014529228210449219,0.05806612968444824,0.03230738639831543,0.020940303802490234,0.09253406524658203,0.05094611644744873,4.372007846832275
D0,139,model_5,13,0.0006392002105712891,0.006682157516479492,0.07710146903991699,0.02635955810546875,0.23271656036376953,0.11078238487243652,0.09154979884624481,1.5755791664123535
D0,140,model_3,127,0.0005221366882324219,0.004057645797729492,0.04520297050476074,0.046790361404418945,0.05193829536437988,0.0965731143951416,0.04318413448830446,16.679280757904053
D0,141,model_5,742,0.0006380081176757812,0.0002608299255371094,0.049108266830444336,0.12870144844055176,0.05196642875671387,0.17870855331420898,0.09307233776365008,2.784734010696411
D0,142,model_3,55,0.0010008811950683594,0.006310224533081055,0.008442163467407227,0.03111743927001953,0.029227256774902344,0.04687070846557617,0.05485438346862793,2.7895898818969727
D0,143,model_3,2701,0.0006785392761230469,0.008856773376464844,0.04040670394897461,0.8793158531188965,0.02751469612121582,0.929257869720459,0.040757505844036736,16.580140113830566
D0,144,model_2,19,0.0011203289031982422,0.010262250900268555,0.0072841644287109375,0.018774032592773438,0.03794503211975098,0.03744077682495117,0.037676123703050915,12.018448114395142
