arm,workload,rate,metric,mean,sd,n
C,bursty,4,e2e_p99,30281.24117,2600.151441,3
C,bursty,8,ttft_p50,123.682737,3.510648,3
C,bursty,8,ttft_p95,819.230036,429.313755,3
C,bursty,8,ttft_p99,4191.914864,1964.049781,3
C,bursty,8,tpot_p50,55.477846,1.401374,3
C,bursty,8,tpot_p95,151.890957,18.052133,3
C,bursty,8,tpot_p99,213.13602,33.659348,3
C,bursty,8,e2e_p50,7249.678556,427.799165,3
C,bursty,8,e2e_p95,32904.90654,3374.702295,3
C,bursty,8,e2e_p99,54240.509735,12657.942913,3
C,bursty,14,ttft_p50,133.602659,42.833403,3
C,bursty,14,ttft_p95,1420.734429,1207.274722,3
C,bursty,14,ttft_p99,2526.3221,2257.091646,3
C,bursty,14,tpot_p50,66.596754,30.943719,3
C,bursty,14,tpot_p95,417.96142,325.229886,3
C,bursty,14,tpot_p99,1333.326594,1101.952426,3
C,bursty,14,e2e_p50,9921.962391,5923.12027,3
C,bursty,14,e2e_p95,50795.982113,32781.428746,3
C,bursty,14,e2e_p99,73987.690587,51612.4573,3
C,bursty,20,ttft_p50,822.722753,1055.069336,3
C,bursty,20,ttft_p95,25952.187729,37999.469184,3
C,bursty,20,ttft_p99,36104.418444,52550.917347,3
C,bursty,20,tpot_p50,110.586875,40.74242,3
C,bursty,20,tpot_p95,585.026616,398.34298,3
C,bursty,20,tpot_p99,1237.381567,894.51202,3
C,bursty,20,e2e_p50,17698.45152,1516.455497,3
C,bursty,20,e2e_p95,83749.800331,4190.442124,3
C,bursty,20,e2e_p99,110960.12713,6720.143899,3
C,steady,4,ttft_p50,105.766098,5.351113,3
C,steady,4,ttft_p95,217.620579,8.218918,3
C,steady,4,ttft_p99,304.000568,12.777958,3
C,steady,4,tpot_p50,44.310927,2.628392,3
C,steady,4,tpot_p95,60.331474,5.163549,3
C,steady,4,tpot_p99,71.743478,5.469961,3
C,steady,4,e2e_p50,5750.233868,915.753542,3
C,steady,4,e2e_p95,19535.800307,1501.971098,3
C,steady,4,e2e_p99,22501.057456,1543.068272,3
C,steady,8,ttft_p50,112.898747,6.307017,3
C,steady,8,ttft_p95,244.232519,18.834522,3
C,steady,8,ttft_p99,403.933896,40.54097,3
C,steady,8,tpot_p50,51.016593,3.694858,3
C,steady,8,tpot_p95,73.634291,5.049692,3
C,steady,8,tpot_p99,90.962177,8.100182,3
C,steady,8,e2e_p50,6299.619189,497.649472,3
C,steady,8,e2e_p95,23640.331339,1397.433389,3
C,steady,8,e2e_p99,26858.525772,1173.035396,3
C,steady,20,ttft_p50,139.927467,7.850736,3
C,steady,20,ttft_p95,359.375572,38.499162,3
C,steady,20,ttft_p99,814.38707,159.779189,3
C,steady,20,tpot_p50,91.280969,24.069206,3
C,steady,20,tpot_p95,201.173617,47.065084,3
C,steady,20,tpot_p99,270.630835,65.250625,3
C,steady,20,e2e_p50,9928.200825,1126.993403,3
C,steady,20,e2e_p95,62023.413064,13518.748276,3
C,steady,20,e2e_p99,71903.645014,16181.1356,3
