t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
80.0,,4.0,0.0,6804.0,0.03,115.74,,,,,,,,,,,,,,,,0,,,0,,,
81.0,1.0,5.0,0.0,7259.0,0.04,134.7,290.0,,1.0,0.0,8369.0,0.04,34.44,,1.0,1.0,0.0,7253.0,0.04,7.51,63.0,0,37205.0,99.0,0,20143.0,38.0,
82.0,1.0,1.0,0.0,7201.0,0.04,54.18,18.0,,1.0,0.0,8409.0,0.04,37.86,,,1.0,0.0,7293.0,0.04,69.17,,0,,,0,,,
83.0,1.0,1.0,0.0,0.0,0.04,,14.0,1.0,1.0,0.0,0.0,0.04,44.36,15.0,1.0,2.0,0.0,7417.0,0.04,105.24,22.0,0,37205.0,99.0,0,20143.0,87.0,
84.0,2.0,3.0,0.0,0.0,0.04,36.86,1156.0,,2.0,0.0,8541.0,0.04,64.53,,,2.0,0.0,7497.0,0.04,131.72,,0,,,0,,,
85.0,,3.0,0.0,7021.0,0.03,83.64,,,2.0,0.0,8621.0,0.04,54.39,,,2.0,0.0,7657.0,0.04,132.87,,0,37205.0,99.0,0,20143.0,61.0,
86.0,1.0,3.0,0.0,0.0,0.03,,260.0,1.0,3.0,0.0,8784.0,0.04,74.87,70.0,,2.0,0.0,7817.0,0.04,131.69,,0,,,0,,,
87.0,1.0,3.0,0.0,0.0,0.04,104.75,224.0,,,,,,,,1.0,3.0,0.0,7948.0,0.04,165.54,39.0,0,,,0,,,
88.0,,4.0,0.0,7496.0,0.04,109.11,,,2.0,0.0,8487.0,0.04,99.84,,2.0,3.0,0.0,0.0,0.04,184.44,210.0,0,37205.0,78.0,0,20143.0,75.0,
89.0,,4.0,0.0,7656.0,0.04,132.65,,,2.0,0.0,8567.0,0.04,64.25,,,2.0,0.0,7984.0,0.04,148.52,,0,,,0,,,
90.0,,4.0,0.0,7816.0,0.04,136.69,,,2.0,0.0,8647.0,0.04,66.81,,,2.0,0.0,8064.0,0.04,125.14,,0,37205.0,87.0,0,20143.0,87.0,
91.0,1.0,5.0,0.0,7995.0,0.04,138.59,12.0,,2.0,0.0,8727.0,0.04,68.61,,,2.0,0.0,7200.0,0.04,131.33,,0,,,0,,,
92.0,,,,,,,,2.0,2.0,0.0,0.0,0.04,,300.0,1.0,2.0,0.0,6617.0,0.03,147.66,18.0,0,37205.0,100.0,0,20143.0,88.0,
93.0,1.0,5.0,0.0,0.0,0.04,168.46,79.0,,2.0,0.0,8823.0,0.04,69.45,,1.0,2.0,0.0,0.0,0.03,149.95,562.0,0,,,0,,,
94.0,,5.0,0.0,7068.0,0.03,170.85,,,1.0,0.0,8564.0,0.04,39.35,,,1.0,0.0,7350.0,0.04,72.58,,0,37205.0,98.0,0,20143.0,88.0,
95.0,1.0,5.0,0.0,0.0,0.04,171.41,161.0,2.0,3.0,0.0,8288.0,0.04,42.54,691.0,,1.0,0.0,7430.0,0.04,75.55,,0,,,0,,,
96.0,,6.0,0.0,7655.0,0.04,176.58,,,2.0,0.0,8123.0,0.04,69.66,,,1.0,0.0,7470.0,0.04,62.25,,0,37205.0,85.0,0,20143.0,64.0,
97.0,1.0,6.0,0.0,0.0,0.04,,120.0,,,,,,,,,1.0,0.0,7550.0,0.04,55.31,,0,,,0,,,
98.0,,6.0,0.0,7823.0,0.04,157.48,,,2.0,0.0,8203.0,0.04,53.19,,1.0,1.0,0.0,0.0,0.04,59.3,375.0,0,37205.0,99.0,0,20143.0,88.0,
99.0,1.0,7.0,0.0,8623.0,0.04,185.04,548.0,,2.0,0.0,8283.0,0.04,65.51,,,1.0,0.0,7670.0,0.04,70.04,,0,,,0,,,
100.0,,3.0,0.0,6280.0,0.03,173.99,,,2.0,0.0,8363.0,0.04,71.89,,,1.0,0.0,7710.0,0.04,76.64,,0,37333.0,85.0,0,20143.0,89.0,
101.0,2.0,4.0,0.0,0.0,0.03,,84.0,,2.0,0.0,8443.0,0.04,69.05,,2.0,2.0,0.0,7256.0,0.04,71.87,33.0,0,,,0,,,
102.0,,5.0,0.0,6536.0,0.03,138.33,,2.0,2.0,0.0,0.0,0.04,,784.0,,2.0,0.0,7416.0,0.04,140.73,,0,,,0,,,
103.0,1.0,5.0,0.0,0.0,0.03,168.21,12.0,,3.0,0.0,7517.0,0.04,67.98,,,2.0,0.0,7496.0,0.04,136.46,,0,37333.0,80.0,0,20143.0,86.0,
104.0,,5.0,0.0,6936.0,0.03,183.79,,1.0,2.0,0.0,0.0,0.03,74.2,27.0,,1.0,0.0,7363.0,0.04,96.84,,0,,,0,,,
105.0,1.0,6.0,0.0,7166.0,0.03,165.95,25.0,,2.0,0.0,6977.0,0.03,66.28,,,,,,,,,0,37333.0,81.0,0,20143.0,0.0,
106.0,2.0,7.0,0.0,7434.0,0.04,200.64,764.0,1.0,2.0,0.0,7057.0,0.03,76.8,379.0,1.0,0.0,0.0,0.0,0.04,,384.0,0,,,0,,,
107.0,1.0,7.0,0.0,0.0,0.04,,768.0,1.0,3.0,0.0,7166.0,0.03,83.51,5.0,1.0,1.0,0.0,7542.0,0.04,66.12,326.0,0,37333.0,99.0,0,20143.0,59.0,
108.0,,5.0,0.0,6709.0,0.03,188.22,,,,,,,,,,1.0,0.0,7622.0,0.04,76.66,,0,,,0,,,
109.0,,5.0,0.0,6909.0,0.03,175.63,,1.0,3.0,0.0,0.0,0.04,107.33,767.0,,,,,,,,0,37333.0,99.0,0,20143.0,3.0,
110.0,1.0,5.0,0.0,6762.0,0.03,148.0,21.0,1.0,4.0,0.0,0.0,0.04,117.15,84.0,,,,,,,,0,,,0,,,
111.0,1.0,4.0,0.0,5687.0,0.03,163.2,61.0,,4.0,0.0,8332.0,0.04,159.77,,,,,,,,,0,37333.0,98.0,0,20143.0,0.0,
112.0,,4.0,0.0,5847.0,0.03,141.55,,,3.0,0.0,7616.0,0.04,123.94,,2.0,2.0,0.0,7307.0,0.04,99.67,62.0,0,,,0,,,
113.0,1.0,4.0,0.0,0.0,0.03,,42.0,,2.0,0.0,7537.0,0.04,101.26,,1.0,3.0,0.0,8142.0,0.04,149.97,746.0,0,37333.0,98.0,0,20185.0,87.0,
114.0,,5.0,0.0,6081.0,0.03,159.28,,2.0,3.0,0.0,0.0,0.04,,290.0,,3.0,0.0,7358.0,0.04,223.66,,0,,,0,,,
115.0,,4.0,0.0,6167.0,0.03,168.75,,,4.0,0.0,7932.0,0.04,83.02,,2.0,3.0,0.0,7302.0,0.04,217.59,143.0,0,37333.0,99.0,0,20185.0,87.0,
116.0,,3.0,0.0,5979.0,0.03,106.03,,,4.0,0.0,8092.0,0.04,141.33,,,2.0,0.0,7206.0,0.04,160.48,,0,,,0,,,
117.0,1.0,3.0,0.0,0.0,0.03,104.02,487.0,,3.0,0.0,7898.0,0.04,119.52,,,2.0,0.0,7366.0,0.04,130.42,,0,37333.0,99.0,0,20185.0,86.0,
118.0,1.0,4.0,0.0,6787.0,0.03,135.75,546.0,,3.0,0.0,8018.0,0.04,104.61,,,1.0,0.0,7435.0,0.04,70.84,,0,,,0,,,
119.0,,,,,,,,,2.0,0.0,7608.0,0.04,81.14,,2.0,2.0,0.0,7815.0,0.04,91.86,589.0,0,,,0,,,
120.0,,3.0,0.0,6581.0,0.03,104.54,,,2.0,0.0,7688.0,0.04,66.72,,5.0,6.0,0.0,0.0,0.04,215.75,552.0,0,37333.0,99.0,0,20185.0,87.0,
121.0,,2.0,0.0,6053.0,0.03,81.75,,,,,,,,,1.0,7.0,0.0,7630.0,0.04,412.88,15.0,0,,,0,,,
122.0,,2.0,0.0,6133.0,0.03,67.49,,1.0,1.0,0.0,0.0,0.04,49.23,482.0,,6.0,0.0,7984.0,0.04,423.96,,0,37333.0,98.0,0,20185.0,82.0,
123.0,,2.0,0.0,6213.0,0.03,72.41,,1.0,1.0,0.0,0.0,0.04,35.6,150.0,1.0,5.0,0.0,6951.0,0.03,453.31,422.0,0,,,0,,,
124.0,3.0,4.0,0.0,7323.0,0.04,42.07,672.0,1.0,3.0,0.0,7743.0,0.04,45.39,9.0,,5.0,0.0,7351.0,0.04,346.57,,0,37333.0,99.0,0,20185.0,76.0,
125.0,,,,,,,,1.0,4.0,0.0,8067.0,0.04,109.93,191.0,,4.0,0.0,7232.0,0.04,293.07,,0,,,0,,,
126.0,,4.0,0.0,7483.0,0.04,137.21,,,3.0,0.0,7748.0,0.04,125.86,,1.0,5.0,0.0,7429.0,0.04,258.09,32.0,0,37333.0,69.0,0,20185.0,88.0,
127.0,1.0,3.0,0.0,0.0,0.04,104.5,13.0,1.0,3.0,0.0,0.0,0.04,,65.0,,1.0,0.0,6261.0,0.03,116.58,,0,,,0,,,
128.0,1.0,4.0,0.0,0.0,0.04,128.72,25.0,1.0,3.0,0.0,0.0,0.04,130.81,1021.0,1.0,2.0,0.0,6772.0,0.03,125.45,392.0,0,37333.0,84.0,0,20185.0,88.0,
129.0,1.0,5.0,0.0,8244.0,0.04,148.18,355.0,,2.0,0.0,8345.0,0.04,83.42,,1.0,3.0,0.0,7149.0,0.03,144.5,210.0,0,,,0,,,
130.0,,4.0,0.0,8043.0,0.04,144.7,,,1.0,0.0,8249.0,0.04,58.45,,1.0,2.0,0.0,0.0,0.03,223.87,21.0,0,37389.0,98.0,0,20185.0,88.0,
131.0,,,,,,,,1.0,1.0,0.0,0.0,0.04,33.31,527.0,,1.0,0.0,7263.0,0.04,151.23,,0,,,0,,,
132.0,1.0,4.0,0.0,8202.0,0.04,167.64,14.0,,,,,,,,1.0,1.0,0.0,7199.0,0.04,82.02,20.0,0,37389.0,100.0,0,20185.0,0.0,
133.0,,4.0,0.0,8362.0,0.04,293.12,,,,,,,,,3.0,3.0,0.0,8179.0,0.04,49.08,931.0,0,,,0,,,
134.0,,3.0,0.0,8088.0,0.04,221.81,,,,,,,,,2.0,5.0,0.0,7370.0,0.04,262.66,52.0,0,37389.0,87.0,0,20185.0,87.0,
135.0,,3.0,0.0,8208.0,0.04,163.19,,1.0,1.0,0.0,9216.0,0.04,14.66,275.0,2.0,5.0,0.0,7355.0,0.04,374.77,23.0,0,,,0,,,
136.0,1.0,1.0,0.0,8472.0,0.04,63.98,252.0,1.0,0.0,0.0,0.0,0.04,,64.0,,3.0,0.0,6772.0,0.03,283.28,,0,37389.0,93.0,0,20185.0,87.0,
137.0,1.0,1.0,0.0,8512.0,0.04,41.28,390.0,,1.0,0.0,8296.0,0.04,18.76,,1.0,4.0,0.0,7028.0,0.03,205.9,126.0,0,,,0,,,
138.0,,,,,,,,1.0,1.0,0.0,0.0,0.04,36.56,71.0,,4.0,0.0,7348.0,0.04,272.76,,0,,,0,,,
139.0,,1.0,0.0,8552.0,0.04,35.24,,1.0,2.0,0.0,0.0,0.04,,24.0,3.0,4.0,0.0,0.0,0.04,160.9,505.0,0,37389.0,99.0,0,20185.0,87.0,
140.0,1.0,1.0,0.0,0.0,0.04,36.03,252.0,2.0,3.0,0.0,0.0,0.04,63.9,386.0,,,,,,,,0,,,0,,,
141.0,,2.0,0.0,8911.0,0.04,55.25,,1.0,3.0,0.0,0.0,0.04,104.0,326.0,,,,,,,,0,37389.0,84.0,0,20185.0,0.0,
142.0,2.0,2.0,0.0,0.0,0.04,84.78,113.0,,4.0,0.0,8667.0,0.04,131.31,,,,,,,,,0,,,0,,,
143.0,1.0,4.0,0.0,9169.0,0.04,100.87,398.0,,3.0,0.0,8787.0,0.04,101.73,,,,,,,,,0,37389.0,76.0,0,20185.0,0.0,
144.0,,,,,,,,2.0,4.0,0.0,0.0,0.04,,399.0,1.0,1.0,0.0,7241.0,0.04,15.94,56.0,0,,,0,,,
145.0,1.0,4.0,0.0,0.0,0.04,138.23,8.0,,4.0,0.0,8128.0,0.04,110.48,,1.0,2.0,0.0,7389.0,0.04,100.87,85.0,0,37389.0,98.0,0,20185.0,77.0,
146.0,,4.0,0.0,8355.0,0.04,150.19,,1.0,2.0,0.0,0.0,0.04,99.63,17.0,1.0,2.0,0.0,7413.0,0.04,115.04,22.0,,,,0,,,
